election_year,tweet_id,created_at,content,lang,username,display_name,user_location,followers,following,statuses,verified,retweet_count,like_count,reply_count,place_name,country,source
2021,1439688306262958092,2021-09-19T20:30:14.000Z,Canada's Trudeau hammers rival over COVID-19 stance on last day of campaign https://t.co/ZUQ4jCxPUX https://t.co/H1ganFL6BN,en,ReutersWorld,Reuters World,NYC,927915,161,312935,False,1,2,1,,,x_api
2021,1439688288617435136,2021-09-19T20:30:10.000Z,LILLEY: Trudeau is reducing sentences for serious gun crimes | Toronto Sun https://t.co/FfGXRpCm1Z,en,PatP887,Pat P,"Alberta, Canada",1939,1156,64345,False,0,0,0,,,x_api
2021,1439688278328893443,2021-09-19T20:30:08.000Z,There is significant support for candidates in other parties but no chance of them having majority. I hope everyone of conscience can band together and vote for Trudeau &amp; the liberal party tomorrow or the conservatives could win. 😳 https://t.co/ASApG2wJXm,en,logicBFF,maria,"St Petersburg, FL",2274,3845,76306,False,0,2,0,,,x_api
2021,1439688103812378625,2021-09-19T20:29:26.000Z,"Canada cannot achieve the ICC's target of &lt;1 degree C while expanding the Alberta Tar Sands and continuing to subsidize them as both Liberal  &amp; Conservatives advocate. Do you believe that it is essential to reject these parties in the federal election?""",en,gaianicity,Ron Hart,"Toronto, Ontario, Canada",554,524,38398,False,0,0,0,,,x_api
2021,1439688099005562886,2021-09-19T20:29:25.000Z,"@KatlynHarrison Stats show those two provinces doing by far the worst in covid.  Not sure what Moe's approval rating is like, but Kenney is loathed in Alberta so I think most Albertans would agree with Trudeau on this.  Its why Kenney's political career will end in next 20 months maybe sooner.",en,mileslunn,Miles Lunn 🇨🇦🇺🇦🇮🇱🇬🇱,"Vancouver, British Columbia",3135,444,328040,False,0,1,4,,,x_api
2021,1439688097189466120,2021-09-19T20:29:25.000Z,"@KeithSuburban1 @Gm37174867 @nickthemanadams @TorontoStar @aballinga I don’t think you are getting it… it’s not about Trudeau. It’s about not giving air to a conservative agenda. To me Canada means- cooperation for the good of all, tolerance for others, belief in science and no guns. https://t.co/ppI5603Nbl",en,MBurrell5,MBurrell 🇨🇦🇨🇦,"Woodstock, Ontario",4416,4845,41873,False,0,0,0,,,x_api
2021,1439688091158122500,2021-09-19T20:29:23.000Z,Sabrina Maddeaux: Canada is an angrier more divided place and Trudeau is to blame https://t.co/4kKMsIF9qf,en,Tastic1,Fran Gage-Asher,Canada,2302,1590,115694,False,0,0,0,,,x_api
2021,1439688059273064448,2021-09-19T20:29:16.000Z,https://t.co/kNfPQL7ukE,zxx,vlenuveno,Vlenuveno,,648,5188,203985,False,0,0,0,,,x_api
2021,1439688020383318016,2021-09-19T20:29:06.000Z,"@CdnFacts @LongmanGill @WheelmanRuss @dacarter68 @susanmontgreen @liberal_party @JustinTrudeau @NDP @CanadianPM @CPC_HQ @Canada He might understand it better if you translate it to Russian. Because he sure seems to struggle with English, and logic, and facts...",en,JimClar62700615,Jim Clark,"6"" Left Of The Middle Of Nowhe",55,31,1972,False,0,2,0,,,x_api
2021,1439688018864918531,2021-09-19T20:29:06.000Z,GOLDSTEIN: Trudeau posed for selfies as threat to Afghan allies grew | Toronto Sun https://t.co/m8qEDbHGKQ,en,PatP887,Pat P,"Alberta, Canada",1939,1156,64345,False,1,2,0,,,x_api
2021,1439687969628164097,2021-09-19T20:28:54.000Z,Trudeau Fakes Getting Vaccine? https://t.co/vhY77TFFsJ,en,bkane8,bbthink,,38,408,1630,False,0,0,0,,,x_api
2021,1439687827596496901,2021-09-19T20:28:20.000Z,I really dream of a Canada that finally reflects the asshat Trudeau. EOT can make that happen and Bernier can’t so please consider the conservatives this election. #TrudeauHasGotToGo #TrudeauCrimeMinister https://t.co/hYwLkWVrab,en,dan48236409,dan,"Bowmanville, Ontario",120,128,5980,False,0,0,0,,,x_api
