election_id,event_number,electoral_district_number_numéro_de_circonscription,ballot_sequence_number,candidate_candidat,candidate_first_name_prénom_du_candidat,candidate_middle_name_second_prénom_du_candidat,candidate_family_name_nom_de_famille_du_candidat,candidate_gender_code,candidate_occupation_english_anglais,profession_du_candidat_français_french,incumbent_indicator_indicateur_candidat_sortant,elected_candidate_indicator_indicateur_du_candidat_élu,candidate_residence_résidence_du_candidat,candidate_province_english_anglais,province_du_candidat_français_french,party_abbreviation_english_anglais,abréviation_de_parti_français_french
GE.41.2011,4100,48007,5,Kirk Oates,Kirk,Kirk,Oates,,Labour Relations Officer,,FALSE,FALSE,Calgary,Alberta,Alberta,NDP,NPD
GE.41.2011,4100,48007,6,Brett Spencer,Brett,Brett,Spencer,,Network Sales Engineering,,FALSE,FALSE,Calgary,Alberta,Alberta,Green,Vert
GE.41.2011,4100,48008,1,Kelly Christie,Kelly,Kelly,Christie,,Construction Supervisor,,FALSE,FALSE,Calgary,Alberta,Alberta,Green,Vert
GE.41.2011,4100,48008,2,Stephen J Harper,Stephen,Stephen,Harper,,Parliamentarian,,TRUE,TRUE,Calgary,Alberta,Alberta,Conservative,Conservateur
GE.41.2011,4100,48008,3,Larry R. Heather,Larry,Larry,Heather,,Logistics - Audio Editor-Producer,,FALSE,FALSE,Calgary,Alberta,Alberta,Independent,Indépendent
GE.41.2011,4100,48008,4,Holly Heffernan,Holly,Holly,Heffernan,,Registered Nurse,,FALSE,FALSE,Calgary,Alberta,Alberta,NDP,NPD
GE.41.2011,4100,48008,5,Marlene Lamontagne,Marlene,Marlene,Lamontagne,,Retired Business Person,,FALSE,FALSE,Calgary,Alberta,Alberta,Liberal,Libéral
GE.41.2011,4100,48009,1,Robert Anders,Robert,Robert,Anders,,Parliamentarian,,TRUE,TRUE,Calgary,Alberta,Alberta,Conservative,Conservateur
GE.41.2011,4100,48009,2,Janice Kinch,Janice,Janice,Kinch,,University Assistant Professor,,FALSE,FALSE,Calgary,Alberta,Alberta,Liberal,Libéral
GE.41.2011,4100,48009,3,Shawna Knowles,Shawna,Shawna,Knowles,,GMHBC Operator (Canada Safeway),,FALSE,FALSE,Edmonton,Alberta,Alberta,NDP,NPD
GE.41.2011,4100,48009,4,André Vachon,André,André,Vachon,,Pipeline Worker,,FALSE,FALSE,Calgary,Alberta,Alberta,MarxLen,MarxLen
GE.41.2011,4100,48009,5,Anna Lisa Wagner,Anna,Anna,Wagner,,"Program Advisor, Post Secondary",,FALSE,FALSE,Calgary,Alberta,Alberta,Green,Vert
GE.41.2011,4100,48005,1,Diane Ablonczy,Diane,Diane,Ablonczy,,Parliamentarian,,TRUE,TRUE,Calgary,Alberta,Alberta,Conservative,Conservateur
GE.41.2011,4100,48005,2,Collin Anderson,Collin,Collin,Anderson,,Retired Engineering Technician,,FALSE,FALSE,Calgary,Alberta,Alberta,NDP,NPD
GE.41.2011,4100,48005,3,Tony Hajj,Tony,Tony,Hajj,,Civil Engineering,,FALSE,FALSE,Calgary,Alberta,Alberta,Green,Vert
GE.41.2011,4100,48005,4,Margaret McLeod,Margaret,Margaret,McLeod,,Registered Psychologist,,FALSE,FALSE,Calgary,Alberta,Alberta,Liberal,Libéral
GE.41.2011,4100,48010,1,Gerard Groenendijk,Gerard,Gerard,Groenendijk,,Elementary Teacher,,FALSE,FALSE,Coalhurst,Alberta,Alberta,Christian Heritage,l'Héritage Chrétien
GE.41.2011,4100,48010,2,Omar Harb,Omar,Omar,Harb,,Student,,FALSE,FALSE,Calgary,Alberta,Alberta,Liberal,Libéral
GE.41.2011,4100,48010,3,Ellen Parker,Ellen,Ellen,Parker,,Teacher,,FALSE,FALSE,Camrose,Alberta,Alberta,NDP,NPD
GE.41.2011,4100,48010,4,Konrad Schellenberg,Konrad,Konrad,Schellenberg,,Business Owner,,FALSE,FALSE,Camrose,Alberta,Alberta,Green,Vert
GE.41.2011,4100,48010,5,Kevin A Sorenson,Kevin,Kevin,Sorenson,,Parliamentarian,,TRUE,TRUE,Killam,Alberta,Alberta,Conservative,Conservateur
GE.41.2011,4100,48010,6,John C. Turner,John,John,Turner,,Driver,,FALSE,FALSE,Munson,Alberta,Alberta,Independent,Indépendent
GE.41.2011,4100,48012,1,Lewis Cardinal,Lewis,Lewis,Cardinal,,Educator,,FALSE,FALSE,Edmonton,Alberta,Alberta,NDP,NPD
GE.41.2011,4100,48012,2,Laurie Hawn,Laurie,Laurie,Hawn,,Parliamentarian,,TRUE,TRUE,Edmonton,Alberta,Alberta,Conservative,Conservateur
GE.41.2011,4100,48012,3,Mary MacDonald,Mary,Mary,MacDonald,,Lawyer,,FALSE,FALSE,Edmonton,Alberta,Alberta,Liberal,Libéral
GE.41.2011,4100,48012,4,Peggy Morton,Peggy,Peggy,Morton,,Journalist,,FALSE,FALSE,Edmonton,Alberta,Alberta,MarxLen,MarxLen
GE.41.2011,4100,48012,5,David James Parker,David,David,Parker,,Professionnal Engineer,,FALSE,FALSE,Edmonton,Alberta,Alberta,Green,Vert
GE.41.2011,4100,48012,6,Mikkel Paulson,Mikkel,Mikkel,Paulson,,Web Developer,,FALSE,FALSE,Edmonton,Alberta,Alberta,Pirate,Pirate
GE.41.2011,4100,48013,1,Trey Capnerhurst,Trey,Trey,Capnerhurst,,Self-employed,,FALSE,FALSE,Edmonton,Alberta,Alberta,Green,Vert
GE.41.2011,4100,48013,2,Peter Goldring,Peter,Peter,Goldring,,Parliamentarian,,TRUE,TRUE,Edmonton,Alberta,Alberta,Conservative,Conservateur
GE.41.2011,4100,48013,3,Ray Martin,Ray,Ray,Martin,,Retired,,FALSE,FALSE,Edmonton,Alberta,Alberta,NDP,NPD
GE.41.2011,4100,48013,4,Shafik Ruda,Shafik,Shafik,Ruda,,Management Consultant,,FALSE,FALSE,Edmonton,Alberta,Alberta,Liberal,Libéral
